username,total_score,categ1,categ2,categ3,categ4,articles1,articles2,articles3,articles4,articles5,articles6,articles7,articles8,articles9,articles10
Chelman,460.0,People,Politics,Sports,Anarchy,"['Britta Böhler', 9]","['Polish people', 7]","['2005 French riots', 7]","['Pistol Daimyo no Bōken', 6]","['Rabobank', 5]","['Anarchism', 5]","['Rafael Nadal', 4]","['John Mieremet', 4]","['Harry Potter', 3]","['Immortal (band)', 3]"
ChemistryProf,364.0,Religion,Philosophy,Health,Science,"['Transcendental Meditation', 30]","['John Hagelin', 20]","['Robert Ballard', 3]","['Puja (Hinduism)', 3]","['Francis Collins', 2]","['Personal god', 1]","['Transcendental Meditation movement', 1]",,,
Chensiyuan,852.0,Sports,People,Society,Entertainment,"['Toronto Raptors accomplishments and records', 5401]","['Cesc Fàbregas', 1972]","['Thierry Henry', 1869]","['Toronto Raptors', 1603]","['Chris Bosh', 1268]","['Steve Nash', 1243]","['Tim Duncan', 1180]","['Moot court', 1135]","['Robin van Persie', 883]","['Dwight Howard', 830]"
Chenzw,627.0,Culture,Education,Technology,Nature,"['Singapore Chinese Orchestra', 20]","['Raffles Institution', 16]","['Hospital Playlist', 9]","['Coastal management', 7]","['Rothschild family', 6]","['Louis Sachar', 6]","['King City, California', 5]","['Galeras', 5]","['2016 New Bilibid Prison riot', 5]","['Ark: Survival Evolved', 4]"
Chergles,599.0,Transportation,Geography,Business,History,"['Boeing 777', 100]","['New York State Route 382', 49]","['South Dakota', 42]","['McDonnell Douglas MD-90', 42]","['Alan Mulally', 26]","['US Airways Flight 1549', 24]","['Enrique Nieto (architect)', 23]","['Bonnie Newman', 21]","['Shrapnel Valley Cemetery', 13]","['Belvidere Assembly Plant', 11]"
ChesPal,518.0,Culture,Art,Food and drink,Entertainment,"[""Pea Soup Andersen's"", 67]","['Shawnee Pottery', 66]","['Lion Brand Yarns', 60]","[""Spenger's Fresh Fish Grotto"", 43]","['Amish doll', 29]","['Arequipa Pottery', 20]","['William B. Ide Adobe State Historic Park', 20]","['Kate Botello', 18]","['California Faience', 15]","['Dining car', 14]"
Chesdovi,779.0,Religion,History,Politics,Concepts,"['Western Wall', 315]","['Hurva Synagogue', 300]","['Haredi Judaism', 221]","['Women of the Wall', 185]","['Holiest sites in Islam', 165]","[""Rachel's Tomb"", 153]","[""Joseph's Tomb"", 142]","['Tefillin', 134]","['Golan Heights', 133]","['Temple Mount', 124]"
ChessAndCookies,434.0,Entertainment,Science,Technology,Society,"['David Quinn (actor)', 69]","['Sonic the Hedgehog (character)', 27]","['Comparison of seventh-generation game consoles', 17]","['Human feces', 6]","[""It's a Big Big World"", 5]","['HD DVD', 5]","['Bop It', 3]","['Bop It Extreme', 3]","['Goose', 2]","['Hugo', 2]"
Chetblong,100.0,,,,,,,,,,,,,,
Chezhiyan,566.0,Politics,Geography,Economy,Science,"['2006 Tamil Nadu Legislative Assembly election', 98]","['Integrated Guided Missile Development Programme', 21]","['Minister of External Affairs (India)', 20]","['Tamil Nadu', 16]","['Elections in India', 15]","['Indira Gandhi Prize', 13]","['Arjuna Award', 13]","['Politics of India', 10]","['Neyveli', 8]","['Octopus card', 6]"
Chiacomo,618.0,Religion,Government,Military,Geography,"['Randy Boyd (university president)', 10]","['Ohio Wesleyan University', 9]","['Dyer, Tennessee', 8]","[""Heavy Metal: A Tank Company's Battle to Baghdad"", 7]","['Christian love', 6]","['Gaza Strip', 5]","['Wahalak, Mississippi', 4]","['Death and funeral of Pope John Paul II', 4]","['David Graves (bishop)', 4]","['Judy Peiser', 4]"
Chickyfuzz14,592.0,Education,Nature,People,Health,"['Piner High School', 11]","['Carson City, Nevada', 9]","['Alligator', 4]","['Brock Berlin', 3]","['Every 15 Minutes', 3]","['Tree', 2]","['Monkey (TV series)', 2]","['Whitmore High School', 2]","['Gordon College (Massachusetts)', 2]","['Black Death', 2]"
Chicocvenancio,505.0,Government,History,Society,Economy,"['Luiz Inácio Lula da Silva', 55]","['Brasília', 42]","['Brazil', 40]","['Cuba', 24]","['South America', 22]","['São Luís, Maranhão', 16]","['Economy of Brazil', 13]","['History of Brazil', 11]","['Fernando Henrique Cardoso', 10]","['Che Guevara', 8]"
Chidel,431.0,Sports,Lists,Technology,Culture,"[""List of Wimbledon gentlemen's singles champions"", 28]","['Lists of tennis records and statistics', 18]","['Roger Federer career statistics', 11]","['Tennis performance timeline comparison (women)', 10]","['Andy Murray', 10]","[""List of Grand Slam men's singles champions"", 9]","['Grand Slam (tennis)', 9]","[""List of Wimbledon ladies' singles champions"", 7]","['Rafael Nadal career statistics', 7]","['Martina Navratilova', 6]"
Chidom,104.0,,,,,,,,,,,,,,
ChildofMidnight,905.0,Politics,Entertainment,Philosophy,Food and drink,"['Bacon mania', 148]","['Burnt Hair Records', 102]","['Bush ballad', 88]","['Human guise', 88]","['Ayn Rand', 88]","[""Joan's on Third"", 86]","['Pissing contest', 80]","['Barack Obama', 80]","['African-American presidents of the United States in popular culture', 79]","['Poppy seed', 78]"
Chiliad22,522.0,Education,Geography,Healthcare,Crime,"['DuPont Manual High School', 102]","['Transit Authority of River City', 14]","[""Ong's Hat, New Jersey"", 10]","['Larkin Community Hospital', 8]","['Greeley West High School', 7]","['Kentucky Derby Festival', 6]","['Selena Roberts', 6]","['Elwood Haynes', 6]","['Murder of Shanda Sharer', 6]","['Times Square Stores', 6]"
Chillum,107.0,,,,,,,,,,,,,,
ChimpanzeeUK,109.0,Nature,Engineering,,,"['The Salisbury Poisonings', 1]","['Second Severn Crossing', 1]",,,,,,,,
Chip123456,760.0,Transportation,Government,People,Media,"['Chippenham railway station', 296]","['List of current BBC newsreaders and reporters', 48]","['Westbury railway station', 39]","['Melksham railway station', 34]","['Swindon railway station', 31]","['British Transport Police', 20]","['Bath Spa railway station', 19]","['Didcot Parkway railway station', 17]","['Alan Sugar', 17]","['Anne, Princess Royal', 16]"
Chiwara,545.0,Religion,Sports,Society,Culture,"['Haitian Vodou', 85]","['Illinois Fighting Illini', 42]","['Illinois Fighting Illini football', 36]","[""Illinois Fighting Illini men's basketball"", 30]","['University of Illinois Urbana-Champaign', 25]","['African art', 17]","['Campus of the University of Illinois Urbana-Champaign', 14]","['National Museum of Archaeology, Anthropology and History of Peru', 12]","['Race of ancient Egyptians', 11]","['Lanzón', 10]"
Chmod007,676.0,Business,Technology,Internet,Culture,"['Typography of Apple Inc.', 121]","['Gay Nigger Association of America', 35]","['Mark Abene', 25]","['PlainTalk', 15]","['Jason Scott', 14]","['Textfiles.com', 13]","['Eric Corley', 13]","['Penis', 12]","['Jimmy Wales', 12]","['Apple Inc.', 12]"
Chmouel,548.0,Geography,Entertainment,Food and drink,Nature,"['Machu Picchu', 7]","['Sydney Opera House', 6]","['Vilnius', 5]","['Rio de Janeiro', 5]","['Palace', 4]","['Sydney Harbour Bridge', 4]","['Atacama Desert', 4]","['Castle', 4]","['Chocolate', 4]","['Sea lion', 4]"
Chodorkovskiy,651.0,Politics,Military,Religion,Other,"['Yuri (Command & Conquer)', 37]","['Tarth (Deadlock)', 35]","['Command & Conquer: Red Alert 2', 34]","['Z (video game)', 23]","['Martin Luther King Jr.', 19]","['Tanya Adams (Command & Conquer)', 19]","['Protoss', 18]","['Wikipedia', 16]","[""Command & Conquer: Yuri's Revenge"", 15]","['Jew Watch', 15]"
Choess,1063.0,History,Society,Government,Lists,"['Royal warrant of precedence', 253]","['Asplenium platyneuron', 198]","['High Sheriff of Cheshire', 130]","['List of lord high treasurers of England and Great Britain', 121]","['Adiantum viridimontanum', 120]","['List of lords commissioners of the Admiralty', 110]","['Asplenium bradleyi', 88]","['Asplenium pinnatifidum', 86]","['High Sheriff of Cornwall', 85]","['Sheriff of Cambridgeshire and Huntingdonshire', 85]"
Cholmes75,922.0,Entertainment,Sports,Economy,Time,"['Kiss (band)', 559]","['Las Vegas Raiders', 302]","['Ace Frehley', 143]","['The Honeymooners', 131]","['SS Winfield Scott', 111]","['Peace dollar', 94]","['Peter Criss', 85]","['American Football League', 83]","['Little People, Big World', 77]","['Dime (United States coin)', 77]"
Chooserr,623.0,Health,Law,Philosophy,Sociology,"['Condom', 144]","['Christmas controversies', 82]","['Minors and abortion', 61]","['Safe sex', 59]","['Emergency contraception', 44]","['Euripides', 29]","['Abortion', 24]","['Prenatal perception', 22]","['Contraceptive patch', 20]","['Planned Parenthood', 15]"
Chowbok,789.0,Culture,Crime,Technology,Mass media,"['Elections by country', 238]","['Wendy Carlos', 55]","['Basil Wolverton', 42]","['John Wayne Gacy', 42]","['Cow tipping', 40]","['Betty Boop', 37]","['Asma al-Assad', 27]","['Ford Torino', 26]","['Sock monkey', 25]","['Linda Kasabian', 25]"
Chowells,701.0,Geography,Transportation,Military,History,"['University of Liverpool', 24]","['Liverpool', 18]","['MAC address', 12]","['Liverpool Blitz', 10]","['Ludwig Stumpfegger', 9]","['Adolf Hitler', 9]","['GWR 6959 Class 6998 Burton Agnes Hall', 8]","['Aero-engined', 7]","['List of rail accidents (2000–2009)', 7]","['Didcot Railway Centre', 7]"
Chrajohn,610.0,Language,Culture,Law,Education,"['Richard Bauman', 8]","['Japanese language', 8]","['West Atlantic languages', 6]","['Pedro Moreno (soldier)', 5]","['Westmoreland Glass Company', 5]","['Angolan passport', 4]","['Bullom So language', 3]","['Ikwerre people', 3]","['United States v. Alcoa', 3]","['Fula language', 3]"
Chris,175.0,History,Education,Military,Science,"['Battle of Lingones', 1]","['Seventh grade', 1]","['Marcus Licinius Crassus Frugi (consul 14 BC)', 1]","['Jean-Baptiste Decoster (guide)', 1]","['German submarine U-576', 1]","['Erich Ludendorff', 1]","['Redones', 1]","['Zumwalt-class destroyer', 1]","['University of Franche-Comté', 1]","['Iapetus (moon)', 1]"
Chris G,864.0,Technology,Business,Culture,Sports,"['Fedora Linux', 47]","['Craig Joubert', 8]","['Power Macintosh G3 (Blue and White)', 5]","['List of Italian foods and drinks', 5]","['Nimrod Expedition', 5]","['Sloviansk', 5]","['Zhytomyr', 5]","['Notley High School', 4]","['UEFA Champions League', 4]","['Ultrasound', 4]"
Chris is me,632.0,Information,Internet,Communication,Lists,"['Myspace', 72]","['Conserve School', 30]","['HughesNet', 27]","['The Night Thoreau Spent in Jail', 12]","['Belkin', 12]","[""Peter's Got Woods"", 9]","['Patriot Games (Family Guy)', 8]","['Apple TV', 6]","['Plaza de las Tres Culturas', 5]","['Roger Jones (mathematician)', 5]"
Chris-martin,699.0,Concepts,Information,Science,Health,"['Crap', 59]","['Cybersex', 37]","['Hip fracture', 28]","['Femur', 26]","['Allergy', 26]","['OSI model', 25]","['Lois Lowry', 24]","['Simile', 24]","['Lust', 23]","['Monty Hall problem', 23]"
Chris.urs-o,790.0,Science,Lists,Geography,Nature,"['Timeline of the discovery and classification of minerals', 1019]","['Timeline of the development of tectonophysics (before 1954)', 881]","['List of minerals recognized by the International Mineralogical Association (P–Q)', 879]","['Timeline of volcanism on Earth', 786]","['List of minerals (synonyms)', 742]","['List of minerals recognized by the International Mineralogical Association (F)', 679]","['List of minerals recognized by the International Mineralogical Association (C)', 644]","['List of minerals recognized by the International Mineralogical Association (S)', 633]","['List of minerals recognized by the International Mineralogical Association', 621]","['List of minerals recognized by the International Mineralogical Association (A)', 616]"
Chris24,611.0,Government,Society,Education,Geography,"['List of schools in Louisville, Kentucky', 71]","['Louisville Male High School', 35]","['Louisville, Kentucky', 30]","['Downtown Louisville', 24]","['Louisville–Elizabethtown–Scottsburg, KY–IN Combined Statistical Area', 19]","['Neighborhoods in Louisville, Kentucky', 17]","['DeSales High School (Louisville, Kentucky)', 16]","['Louisville – Jefferson County, KY–IN Metropolitan Statistical Area', 16]","['Geography of Louisville, Kentucky', 15]","['List of roads in Louisville, Kentucky', 13]"
Chris4315,306.0,Entertainment,Technology,Animals,People,"['HUSS Park Attractions', 5]","['Scarborough City Centre', 3]","['Sledge Hammer (ride)', 3]","['Madea', 3]","['Rihanna', 3]","['Scarborough Town Centre', 2]","['Papillon dog', 2]","['Apple Inc.', 2]","['Cat genetics', 2]","['Bolliger & Mabillard', 2]"
ChrisBradley,287.0,History,Culture,Philosophy,Media,"['Waiting staff', 5]","['Hooligan (film)', 5]","[1973, 4]","['Battle of Savo Island', 4]","['List of poets', 3]","['HP 520', 3]","['Keyboard (magazine)', 3]","['Comedy Central', 2]","['NFC East', 2]","['Intelligent design', 1]"
ChrisDHDR,100.0,,,,,,,,,,,,,,
ChrisGriswold,809.0,Entertainment,Comics,Characters,Media,"['52 (comics)', 278]","['X-Men: The Last Stand', 192]","['Spider-Man', 160]","['Hulk', 154]","['Runaways (comics)', 150]","['Superman', 145]","['Batman', 136]","['Civil War (comics)', 133]","['Ultimate Spider-Man', 113]","['Professor X', 91]"
ChrisTheDude,1013.0,Sports,Television,Music,Places,"['Gillingham F.C.', 1112]","['List of Call the Midwife episodes', 704]","['Steve Bruce', 655]","['2000 Football League Second Division play-off final', 624]","['M.I.A. discography', 533]","['Margate F.C.', 522]","['Maya (M.I.A. album)', 433]","['Brownhills', 424]","['Dover Athletic F.C.', 410]","['Kit (association football)', 395]"
Chrisd87,674.0,Education,Science,Television,Arts,"['Royal Grammar School, High Wycombe', 8]","['Pitot tube', 5]","['Eppur Si Muove (The West Wing)', 3]","['Quesalid', 3]","['Others (Lost)', 2]","['Lists of video games', 2]","['Happy hardcore', 2]","['Gerard van Honthorst', 2]","['Bill Clinton', 2]","['Joe Barr', 2]"
Chrishmt0423,869.0,Sports,Lists,People,Economy,"['2007 NBA playoffs', 661]","['List of career achievements by Kobe Bryant', 426]","['2007–08 NBA season', 364]","['National Basketball Association', 315]","['List of first overall NBA draft picks', 275]","['Double-double', 273]","['NBA Most Valuable Player', 262]","['2006–07 NBA season', 238]","['Ed Jew', 237]","['List of nicknames in basketball', 235]"
Chrishomingtang,104.0,,,,,,,,,,,,,,
Chrisieboy,797.0,Government,Culture,Society,History,"['Peterborough', 563]","['Flag of Italy', 289]","['NatWest', 205]","['Peterborough (UK Parliament constituency)', 182]","['List of Italian orders of chivalry', 169]","['Anglia Regional Co-operative Society', 157]","['Peterborough City Council', 146]","['Norwich and Peterborough Building Society', 130]","['Emblem of Italy', 102]","['University of North London', 77]"
Chrisjnelson,827.0,Sports,People,Media,Technology,"['2007 Miami Dolphins season', 517]","['2008 Miami Dolphins season', 465]","['Daunte Culpepper', 137]","['Ted Ginn Jr.', 131]","['Miami Dolphins', 129]","['Madden NFL 08', 124]","['2008 NFL draft', 99]","['Michael Vick', 97]","['John Beck (gridiron football)', 92]","['Jason Taylor (American football)', 92]"
Chrislintott,597.0,Nature,Sports,Geography,Government,"['2007 Cricket World Cup statistics', 23]","['Galaxy', 14]","['Milky Way', 12]","['Torquay United F.C.', 11]","['2007–08 FA Cup qualifying rounds', 9]","['EFL Cup', 8]","['FA Cup', 7]","['The Pentagon', 7]","['Royal Astronomical Society', 6]","['Gravity Probe B', 6]"
Chrislk02,865.0,Education,Technology,Military,Religion,"['Backronym', 92]","['Christopher Newport University', 91]","['Pitot–static system', 89]","['V speeds', 85]","['Franklin, Virginia', 81]","['Sigma Phi Epsilon', 68]","['Freemasonry', 56]","['List of surviving Boeing B-29 Superfortresses', 52]","['Joint Expedition Against Franklin', 44]","['Ferguson Enterprises', 42]"
Chrism,835.0,Politics,History,Society,Lists,"['Everton F.C.', 226]","['United Kingdom parliamentary expenses scandal', 131]","['Prime Minister of the United Kingdom', 101]","['House of Lords', 84]","['House of Commons of the United Kingdom', 81]","['2011 military intervention in Libya', 74]","['List of timelines of World War II', 71]","['2013–14 FA Cup qualifying rounds', 64]","['2010 United Kingdom general election', 59]","['List of universities in the United Kingdom by date of foundation', 52]"
Christiaan,516.0,War,Law,Human behavior,Economy,"['Iraqi insurgency (2003–2011)', 81]","['2003 invasion of Iraq', 70]","['January 2005 Iraqi parliamentary election', 54]","['Human shield action to Iraq', 36]","['Depleted uranium', 28]","['Apple v. Does', 23]","['Malcolm Kendall-Smith', 22]","['New antisemitism', 21]","['Opposition to the Iraq War', 19]","['Fallujah', 18]"
Christopher,119.0,Science,,,,"['Peritrophic matrix', 3]",,,,,,,,,
ChromaNebula,607.0,Business,Mathematics,General knowledge,Culture,"['Textile manufacturing', 5]","[""Domaine de Baron'arques"", 4]","['Generalized Stokes theorem', 3]","['Aneta Langerová', 3]","['United Nations', 3]","['SpongeBob SquarePants season 8', 3]","['List of storms on the Great Lakes', 2]","['Wuhan Vocational College of Software and Engineering', 2]","['SM Hypermarket', 2]","['Masami Akita discography', 2]"
Chromancer,762.0,Literature,Philosophy,Technology,Entertainment,"['Tom Bradley (author)', 23]","['Marine Military Academy', 21]","['Bizarro fiction', 19]","['Mantissa (novel)', 13]","[""Shakespeare's sonnets"", 12]","['Long hair', 11]","['Asheville, North Carolina', 10]","['White phosphorus munition', 10]","['Antinatalism', 10]","['Great Hacker War', 10]"
Chubbles,1107.0,Music,People,Entertainment,Nature,"['Guinea pig', 748]","['Hawthorne Heights', 281]","['Blessthefall', 271]","['The Red Jumpsuit Apparatus', 229]","['Cash Cash', 169]","['Black Lab', 126]","['Lloyd (singer)', 112]","['Symphony No. 3 (Górecki)', 90]","['The Maine (band)', 86]","['Blood on the Dance Floor (band)', 84]"
Chuckfromchan,254.0,Video games,Geography,Technology,Other,"['Mortal Kombat (1992 video game)', 1]","['North Carolina', 1]","['IPodLinux', 1]",,,,,,,
Chuq,1015.0,Sports,Geography,Government,Media,"['A-League Men', 222]","['Tasmania', 153]","[""Australia men's national soccer team"", 143]","['Triple J', 118]","['2006–07 A-League', 109]","['Hobart', 70]","['Melbourne Victory FC', 66]","['Sport in Australia', 61]","['Local government areas of Tasmania', 60]","['Jericho (2006 TV series)', 60]"
Church,969.0,Entertainment,Sports,Music,People,"['System of a Down', 104]","['Aaron Rodgers', 68]","['Kevin King (American football)', 48]","['Serj Tankian', 42]","['Khyri Thornton', 34]","['Greg Boone', 25]","['Rodney Alcala', 21]","['Daron Malakian and Scars on Broadway', 21]","['D. J. White (American football)', 20]","['David Bakhtiari', 18]"
Chussid,432.0,Religion,Culture,Politics,Society,"['Anti-Zionism', 26]","['Hardal', 20]","['Satmar', 12]","['Edah HaChareidis', 11]","['Joel Teitelbaum', 10]","['Neturei Karta', 9]","['Moshe Hirsch', 8]","['Moshe Friedman', 8]","['Hasidic Judaism', 6]","['Agudath Israel of America', 6]"
Chuthya,424.0,Entertainment,Mass media,People,Sociology,"['Jon & Kate Plus 8', 18]","['Joe Wilson (American politician)', 8]","['David Shankbone', 8]","['Insect winter ecology', 6]","['Homebrew Channel', 5]","['Jamie Lynn Spears', 4]","[""Obsession: Radical Islam's War Against the West"", 3]","['Sarah Palin', 3]","['List of SpongeBob SquarePants characters', 3]","['Hoarders (TV series)', 3]"
Chutznik,811.0,Geography,Religion,Government,Health,"[""Beit Ya'akov, Jerusalem"", 15]","['Sanhedria Murhevet', 11]","['Baka, Jerusalem', 10]","['Ir Ganim', 9]","['Betty Young', 9]","['Ring Settlements, East Jerusalem', 8]","['Nuclear magnetic resonance spectroscopy of stereoisomers', 8]","['Robert Ayling', 7]","['Pat, Jerusalem', 7]","['Israeli–Arab organ donations', 6]"
Chwech,548.0,Entertainment,Lists,History,Society,"['Melodifestivalen', 722]","['Eurovision Song Contest 2008', 182]","['List of Eurovision Song Contest winners', 98]","['List of countries in the Eurovision Song Contest', 83]","['Melodifestivalen 2007', 61]","['Eurovision Song Contest', 59]","['Melodifestivalen 2007 semifinals', 59]","['Presentation College, Bray', 50]","['Melodifestivalen 2008', 44]","['Eurovision Song Contest 2003', 42]"
Chzz,1100.0,History,Nature,Technology,Arts,"['Marco Polo', 154]","['William Windsor (goat)', 141]","['Bloomsbury Set (band)', 120]","['Dagenham Roundhouse', 104]","['The First Domino', 99]","['Dry ice', 97]","['Arthur Adams (singer)', 93]","[""Fuckin' 'Ell It's Fred Titmus"", 87]","['Adrian Brett', 79]","['Eastwood, Nottinghamshire', 76]"
CiaraBeth,347.0,Entertainment,Medicine,Education,Military,"['Chris Parnell', 8]","['List of words having different meanings in American and British English (A–L)', 8]","[1916, 6]","['Blood transfusion', 5]","['Oral sex', 4]","['Saturday Night Live', 4]","['Florida State University', 3]","['Brandon, Florida', 2]","['Plant City, Florida', 2]","['Royal Army Medical Corps', 2]"
CiaranG,719.0,Art,Engineering,Software,Culture,"['List of illustrators', 35]","['Swinsty Reservoir', 24]","['List of wiki software', 20]","['The Kooks', 19]","['William Wordsworth', 15]","['My Chemical Romance', 15]","['Steam engine', 14]","['John Carr (architect)', 14]","['Mole (animal)', 13]","['Roberto Parada (painter)', 11]"
Cindamuse,1115.0,People,History,Sociology,Religion,"['Anthony Ashley-Cooper, 10th Earl of Shaftesbury', 117]","['Douglas W. Owsley', 67]","['Rachel Lloyd', 59]","['Annie Lobert', 53]","['Nicholas Ashley-Cooper, 12th Earl of Shaftesbury', 48]","['Sharon Newman', 45]","['Tonya Kay', 41]","['Serabee', 37]","['Pattie Mallette', 31]","['Shelley Lubben', 30]"
Cindery,465.0,Health,Science,Law,Feminism,"['Mifepristone', 273]","['Emergency contraception', 266]","['Depot medroxyprogesterone acetate', 151]","['Barrington Hall (Berkeley, California)', 138]","['Hormonal intrauterine device', 125]","['Dalkon Shield', 107]","['Menstrual extraction', 64]","['Misoprostol', 62]","['Combined oral contraceptive pill', 46]","['Jesse Reklaw', 44]"
Ciraric,417.0,History,Geography,Culture,Science,"['Novial', 7]","['Cambuslang', 5]","['Conservative Future Scotland', 4]","['Doctor of Physical Therapy', 3]","['1998 European Athletics Indoor Championships', 3]","['Abidos the third', 3]","['Tavistock Institute', 2]","['Persian Gulf', 2]","['Meymand, Kerman', 2]","['The Vandals (UK band)', 2]"
Cirt,,Religion,Law,Entertainment,Internet,"['Project Chanology', 859]","['Bomis', 573]","['List of Scientologists', 522]","['Hitachi Magic Wand', 512]","['Beck v. Eiland-Hall', 486]","['Battlefield Earth (film)', 443]","[""A Very Merry Unauthorized Children's Scientology Pageant"", 402]","['Fuck (2005 film)', 391]","['Moonie (nickname)', 378]","['Dan Savage bibliography', 360]"
Citicat,925.0,Sports,Lists,People,Technology,"['List of professional sportspeople convicted of crimes', 182]","['List of fatalities at the Indianapolis Motor Speedway', 29]","['Roosevelt Raceway', 19]","['Dyker Heights, Brooklyn', 16]","['Harry Chapin', 13]","['Curtis Martin', 11]","['Northville High School', 11]","['Great Neck Public Schools', 11]","['Jimmy Buffett', 11]","['Seven Lakes High School', 11]"
Citizen,538.0,Politics,Society,History,Philosophy,"['Kirby, Texas', 41]","['Historical rankings of presidents of the United States', 37]","['Ashley Alexandra Dupré', 15]","['List of presidents of the United States', 12]","['Sanitation in ancient Rome', 8]","['Ralph Nader 2008 presidential campaign', 8]","['Jim Gilmore 2008 presidential campaign', 8]","['Kylix', 6]","['Conservatism in the United States', 6]","['Brendan Croker', 6]"
City of Silver,990.0,Sports,Politics,People,Media,"['Bernard Hopkins vs. Chad Dawson', 21]","['Proud Boys', 20]","['Ahilyabai Holkar', 20]","['List of current champions in WWE', 17]","['The Undertaker', 14]","['Daddy Yankee', 13]","['Jerry Sandusky', 13]","['List of programs broadcast by Adult Swim', 12]","['Romani people', 11]","['Look What You Made Me Do', 11]"
CityOfSilver,,Sports,Entities,People,Government,,,,,,,,,,
Cjewell,575.0,Health,Government,Entertainment,Technology,"[""Crohn's disease"", 37]","['United States passport', 30]","['American Idol season 6', 18]","['Jack Ryan (character)', 15]","['Gathering Blue', 11]","['Mormon missionary', 11]","['David Weber', 7]","['Motor-vehicle inspection (Japan)', 7]","['Twin Towers (disambiguation)', 7]","['Vehicle registration plates of Japan', 6]"
Cjrs,0.0,,,,,,,,,,,,,,
Ckatz,1095.0,Television,Nature,Universe,History,"['Heroes (American TV series)', 681]","['Jericho (2006 TV series)', 347]","['List of Heroes characters', 335]","['Sylar', 314]","['Doctor Who', 256]","['Vancouver', 250]","['Solar System', 248]","['James Naismith', 204]","['Planet', 195]","['Sun', 177]"
Ckjy,161.0,Business,Entertainment,People,Other,"['Actuarial exam', 5]","['Symetra', 5]","['Super Smash Bros. Brawl', 1]","['Tom Cruise', 1]","['Fearless (Taylor Swift album)', 1]",,,,,
Cla68,752.0,Military,History,Geography,Technology,"['Battle of the Coral Sea', 1256]","['USS Iowa turret explosion', 946]","['Naval Battle of Guadalcanal', 721]","['Guadalcanal campaign', 697]","['1994 Black Hawk shootdown incident', 421]","['Operation Ke', 395]","['Japanese aircraft carrier Kaga', 348]","['Operation Ten-Go', 322]","['Japanese aircraft carrier Akagi', 321]","['Fred Moosally', 284]"
Claritas,781.0,History,Culture,Politics,Society,"['William H. Prescott', 295]","['1571 Haverfordwest election', 35]","['Island Harbour (Anguilla House of Assembly Constituency)', 33]","['David Rakoff', 31]","['Ashton-under-Lyne (UK Parliament constituency)', 28]","['List of Usagi Yojimbo characters', 28]","['Bootle (UK Parliament constituency)', 26]","['Valley South (Anguilla House of Assembly Constituency)', 26]","['Sandy Hill (Anguilla House of Assembly Constituency)', 23]","['Road North (Anguilla House of Assembly Constituency)', 22]"
Clarkbhm,646.0,Environment,Lists,Geography,Transportation,"['Theta Tau', 71]","['List of National Wildlife Refuges', 44]","['Pittsburgh', 18]","['National Wildlife Refuge', 17]","['Hoover, Alabama', 16]","['Sam D. Hamilton Noxubee National Wildlife Refuge', 12]","['List of National Wildlife Refuges established for endangered species', 11]","['Pittsburgh Regional Transit', 11]","['Mt. Lebanon, Pennsylvania', 11]","['Squirrel Hill', 9]"
Clarkcj12,1005.0,Nature,Geography,Science,Other,"['Wildlife of Peru', 60]","['2011 Virginia earthquake', 22]","['2012 Atlantic hurricane season', 15]","['HD 173791', 15]","['Gobioclinus dendriticus', 12]","['Universidad Nacional de la Amazonía Peruana', 11]","['2012 Pacific hurricane season', 9]","['Arriate', 9]","['Encephalartos brevifoliolatus', 8]","['Midnight Red', 8]"
ClassicSC,750.0,Arts and entertainment,Literature,Culture,Society,"['Warriors (novel series)', 160]","['Midnight (Hunter novel)', 16]","['Hot dog', 13]","['Planned Parenthood', 12]","['SpongeBob SquarePants', 8]","['Tool', 8]","['Minod Moktan', 8]","['Oprah Winfrey', 8]","['Master Juba', 8]","['Reproductive Freedom for All', 7]"
Claudevsq,674.0,Sports,Lists,People,Culture,"['List of current world boxing champions', 2802]","['List of current female world boxing champions', 1252]","['Boxing pound for pound rankings', 958]","['List of WBC female world champions', 679]","['List of WBA female world champions', 554]","['List of IBO world champions', 455]","['List of WBO female world champions', 365]","['List of IBF female world champions', 259]","['World Boxing Council', 236]","['David Petraeus', 143]"
Clawson,644.0,History,Technology,Transportation,Society,"['Comair Flight 5191', 186]","['LZ 129 Hindenburg', 81]","['Battle of New Orleans', 79]","['Howard Hughes', 69]","['Titanic', 62]","['American Revolutionary War', 47]","['Cannabis (drug)', 41]","['IPod Nano', 40]","['Adidas', 39]","['Kalamazoo, Michigan', 37]"
Clayoquot,957.0,Environment,Health,Animals,Energy,"['Sustainable energy', 1317]","['Downtown Eastside', 1077]","['Sea otter', 911]","['Orca', 673]","['Carbon capture and storage', 668]","['Polar bear', 548]","['Luna (orca)', 181]","['Christopher Reeve', 174]","['Breastfeeding', 147]","['Hydrogen economy', 145]"
Cleared,102.0,Pets,Biology,Other,,"['Bearded dragons as pets', 1]",,,,,,,,,
Cleduc,729.0,Culture,History,Law,Medicine,"['Huei tlamahuiçoltica', 50]","['Romani people', 33]","['Maher Arar', 33]","['Gael García Bernal', 30]","['Jacques Cartier', 26]","['Societal attitudes toward homosexuality', 24]","['Terrence McNally', 24]","['Take Me Out (play)', 23]","['Motion Picture Association', 22]","['History of intersex surgery', 22]"
