username,total_score
ThirdDolphin,809
Hargrimm,650
Vlad,725
AaronY,950
MarcGarver,1107
Ruud Koot,929
Ravenswing,1031
Ryan Norton,724
Volunteer Marek,1009
Brerose,508
Gallileo2k,792
Razer2115,1067
Aarem,676
Daveydweeb,674
Lee,526
Rcsprinter123,1178
Miranda,870
Fusionmix,809
KorinoChikara,607
Renesis,714
ClassicSC,750
Stan2525,735
Arctic Fox,531
Firefly,1126
Rkevins,557
Zbxgscqf,547
Roman Spinner,901
Jack Phoenix,539
Ryan,783
RyanCross,847
Rye 212,705
Sean gorter,512
Stefán Örvar Sigmundsson,807
Sophia,679
Truco,830
GroovySandwich,706
Salvidrim!,1227
Sam,835
Steve Smith,917
SchuminWeb,1020
User86654,606
Hex,1015
Arjun01,1025
17Drew,730
Joy,1035
Andrew Gray,1066
Zidonuke,834
Pax85,885
Church,969
The Canadian Roadgeek,789
Smithers,662
VersedFenrir,865
Scottywong,1115
Redrocket,616
the Rogue Penguin,954
Soms,543
Hmich176,855
Amberrock,937
X!,1213
Targaryen,809
seb26,1181
Sp,1001
RichardWeiss,1085
Singularity,863
Sue Anne,551
Isaac,569
Vanished User jdksfajlasd,898
Steel,908
Sjb72,1074
ConnorJack,714
Avenged Eightfold,964
ST11,953
Flewis,928
Mattflaschen,879
SusanLesch,870
SwirlBoy39,667
Javert,813
Ecpiandy,1038
The High Fin Sperm Whale,878
TML,568
TParis,1198
Trey,823
The Runescape Junkie,535
Mike R,724
R~enwiki,749
Xia,766
Simeon H,513
Enkyo2,808
I64s,678
Just Chilling,1092
Windermere06,796
Soni,990
Stephen Bain,824
Geoff Plourde,648
AndySimpson,700
Timmeh,705
Timl,665
Voice of Clam,1213
Erachima,816
ReaderofthePack,1182
Tomfoolery,537
Tolly4bolly,1017
Tow,916
Sammi Brie,1111
Scott MacDonald,929
Victoriaearle,873
Gromlakh,917
Uninsured Driver,234
MattWade,770
Shyam,877
VOBO,564
Steven Walling,1219
Siafu,704
DrPepperSamurai,451
O,822
dgw,886
Urban Fox,255
F,774
JoshuacUK,673
Waldyrious,870
Warren,877
KuduIO,746
Wes!,639
Emma Caroline,849
Wizzy,684
Cloudbound,910
RickinBaltimore,1300
!---slappdash---!,394
%D0%90,665
'sed,195
(.Y.),131
(:Julien:),592
(aeropagitica),955
*Kat*,682
*drew,681
-Midorihana-,693
-Ril-,642
-asx-,541
-jha-,108
.:Ajvol:.,601
.V.,554
.snoopy.,508
068152,323
069952497a,864
0pen$0urce,561
10014derek,439
1234r00t,649
123Hedgehog456,577
125.162.150.88,207
128.83.101.111,0
129.177.19.120,0
131.211.210.14,30
131.211.210.157,34
1362,102
154.20.253.177,0
156.34.142.110,423
1568,102
172,842
1948remembered,296
203.125.28.98,23
216.153.214.94,332
24.15.158.90,1
172.144.137.135,0
1966batfan,109
1of3,444
203.213.7.131,204
21655,690
24.18.171.99,227
28bytes,1086
32X,540
4kinnel,368
578,514
68.190.178.87,28
71.106.28.156,1
75.62.7.22,42
82,385
A.,151
A2Kafir,732
A8UDI,675
ABCD,801
AED,619
AI,627
AL2TB,612
AMK152,909
ARBAY,102
AWeenieMan,679
Aaron,626
Aatomic1,684
Abd,670
Abigor,437
Abscissa,558
Academia,100
Accdude92,453
Accurizer,932
Acela,117
Acme,121
Adam,724
Adambro,869
Aditya,747
Adrian,125
Aecis,818
Aervanath,1029
AfterHelper11,130
AgentB1,188
Agnte,699
Ahodges7,531
Aiden,100
AirplanePro,710
Aj00200,588
Akendall,786
Aktron,573
Alabamaslamma,102
AlanBarrett,498
AlasdairGreen27,788
Albedo,518
Aleenf1,912
Alethiophile,543
AlexJFox,572
AlexanderWinston,419
Alexfusco5,100
Alexsanderson83,534
Alhutch,817
Aliasd,648
AlisonW,911
Allemandtando,580
Allthedamnnamesaretaken,165
Alnokta,601
Alpta,518
Alton,641
Alzarian16,728
Amanniste,421
AmeIiorate,106
Amerique,677
Amir85,619
Amren,605
AnOddName,662
Ancapp,102
AndonicO,102
Andrew73,641
Andrewman327,1017
Android79,796
Andy4789,106
Andylkl,615
Angelo.romano,1038
AngryParsley,500
Anietor,652
Anirishwoman,446
AnmaFinotera,1067
Anom8trw8,549
AnonMoos,921
AnotherSolipsist,427
Antelan,589
Anthonyhcole,894
Antivenin,102
Apantomimehorse,438
Apoc2400,887
Apterygial,609
Aquilina,636
Aradic-es,488
Aranel,780
Arbustoo,711
Arce,373
Archer7,535
Ardric47,883
Arfan,523
Ari89,708
ArielGlenn,424
Aristovoul0s,524
Arkon,615
Arndisdunja,502
Aromanian,137
Ars,100
Artem,115
Artichoker,685
Arxiloxos,808
Asdfasdf1231234,612
Ashay,0
Askolnick,466
Astral,607
Astrotrain,676
Atakdoug,566
Atemperman,596
Atlan,789
Atomaton,737
Atsakiris,409
AuburnPiIot,453
Aude,952
Aunt,100
AustralianRupert,1050
Autumnleaf,396
Avb,686
Avg,660
Avocado,636
Awickert,659
AxelBoldt,796
AySz88,647
Az1568,711
B,1179
B4rr4g3,430
BDD,1035
BOZ,972
BSveen,508
BabbaQ,1051
BadSeed,546
Badgernet,802
Bailo26,867
Baldhur,543
Banana04131,643
BarkingFish,962
Barnham,414
Bart133,817
Bastun,1116
Bballoakie,445
Bbx,706
Bduke,948
Beau99,621
Bedivere,763
Belasd,716
BenB4,652
Bendono,609
Benne,589
Bens,165
Berasategui,444
BernardL,524
Betacommand,892
Bfigura,913
Bibliomaniac15,1279
BigDunc,862
Bigman17,254
Bigvinu,119
Bilby,1146
Billinghurst,1044
BillyH,583
Biosketch,586
Bishzilla,699
Bjones,776
Bladestorm,540
Bloodpack,652
BlueFen,393
Bluemask,814
Bmaganti,430
Bmrbarre,679
BobNewbie123,158
Bogdangiusca,904
Boguslavmandzyuk,772
Bonaparte,549
BoojiBoy,694
Boothy443,785
BorgQueen,1113
Bornhj,800
Bouquet,245
Bovlb,876
Brambleclawx,869
Brandonfarb,158
Brendanconway,924
Brian,696
BrianY,619
Brianjd,617
Brighterorange,852
BritishWatcher,686
Brookie,906
Brusegadi,707
BryanG,767
Bsayusd,508
Bua333,410
Buckeye80,101
Buffbills7701,919
Bugtrio,546
Bulldog123,718
Bungle,1022
Burner0718,673
Burzmali,689
Buster7,993
Bwithh,648
Bzuk,895
C-randles,666
C4MB,206
CBM,962
CHAK,100
CJK,539
CMJMEM,420
CP\M,720
CS42,539
CWenger,838
CaSJer,701
Cacycle,776
Caernarvon,403
Cailil,836
Calabraxthis,709
Callanecc,1300
Calmer,101
Calvin,100
Camaron1,102
Cameron,900
CanadianNine,549
Canoe1967,776
Canuckguy,557
Cao,189
Captainj,591
CarbonCopy,630
Cardamon,719
CaribDigita,902
Carpet9,449
Casito,707
Cassandra,102
Castellanet,462
Catamorphism,662
CatherineMunro,691
Cavarrone,1018
Cburnett,901
CdaMVvWgS,635
Celarnor,643
Cenarium,1162
Ceradon,1069
Ceriy,733
Chacor,730
Chalst,820
Chanakal,948
Chaosdruid,866
Charles,723
CharonX,578
Cheesehead,100
Chensiyuan,852
ChessAndCookies,434
Chiacomo,618
Chicocvenancio,505
Chiliad22,522
Chip123456,760
Choess,1063
Chowells,701
Chris.urs-o,790
Chrisd87,674
Chrisjnelson,827
Chromancer,762
Chuthya,424
CiaranG,719
Ciraric,417
Cjewell,575
Cla68,752
Claudevsq,674
Clem23,521
Climie.ca,641
CloudNine,741
Clpo13,1279
Cluetrainwoowoo,285
Cmapm,661
Cntras,815
Coburnpharr04,510
CodeMonk,426
Cohesion,805
Collect,727
ColourBurst,643
Cometstyles,706
Complex,108
ConfuciusOrnis,805
Connormah,1234
Conti,848
Cool3,762
Cordless,100
Cornerbock,416
Cortonin,559
Count,132
Cowman109,869
Craftyminion,835
Craw-daddy,806
Crazymonkey1123,872
Cream,123
Cresix,713
Cribananda,500
Crispmuncher,707
Crohnie,630
Crotalus,100
Crumbsucker,662
CrypticBacon,744
Crzrussian,893
Ctjf83,103
Cunado19,588
Curps,896
Cxz111,882
Cyberpower678,1171
Cyclopia,844
Cymru.lass,1014
Cyp,900
Czj,711
D-Rock,605
DAFMM,498
DC,744
DCary,374
DHeyward,763
DJ,155
DO'Neil,682
DS2434,498
DaBiGg3TiTaLiaNo,219
Dado,100
DaffyDuckDied,169
Dainomite,815
Dalillama,670
Dan100,968
DanThaMan17,432
Dancter,772
Daniel575,561
DanielEng,608
Dank,1041
Dannycas,645
Dar-Ape,788
DarkVic,216
Darkoneko,603
Darrenhusted,1014
Daryou,515
Dave101,669
Daven200520,764
David,100
DavidCBryant,655
DavidMendoza,473
Davidelit,998
Davidpdx,727
Davkal,419
Daycd,626
Dbiel,709
Dbratton,496
Dchall1,894
Dcshank,744
DeadlyAssassin,862
Deathlibrarian,876
Deckiller,994
Dede2008,858
Deepak,100
Definition12,534
Deiv007,206
Delicious,100
DeltaQuad,496
Demiurge1000,787
Den,102
DenisRS,420
Dennymeta,387
Derex,646
Derwig,540
Deskana,1072
Dev920,776
Dffgd,653
Dhanak,100
DiamonDie,514
DickClarkMises,903
Diego,523
Diffyoeu224,109
Digwuren,680
Dimension31,500
Dinojerm,298
Dirak,446
Discombobulator,421
DisturbedNerd999,532
Djsasso,1149
Dmcdevit,102
Dmz5,655
Docboat,728
Doctree,797
Dohn,111
Dolpins,192
Dominus,893
Donatrip,302
Dontforgetthisone,643
Dorange,509
Doright,500
Doug,104
Dougweller,106
Doyley,661
Dppowell,836
Dr.Kane,222
DrBob,634
DracoEssentialis,470
Drboggs,102
Dreadstar,1003
Dreamspy,611
Driken,356
Drla8th!,339
Drogo,382
Dschwen,612
Dudesleeper,108
DukeEgr93,628
Dunemaire,614
Durova,1017
Dustihowe,100
Dw290,208
Dweller,1111
Dylan620,1033
Dysepsion,814
EEMIV,1012
ERK,740
EZ1234,608
Eaglestorm,608
Earlypsychosis,676
EatAlbertaBeef,449
Eclipsed,809
Ed!,801
EdEColbert,607
Eddie,221
Edgerunner76,490
Editor88,410
EdmundEzekielMahmudIsa,202
Edward130603,690
Edwy,656
Efcmagnew,542
Eglinton2,127
Ejrrjs,616
ElAmericano,613
ElbridgeGerry,535
Electrical,101
Eleland,758
Elf,800
Elian,467
Elipongo,799
Elizium23,1119
Elockid,1002
Eluchil404,854
Empezardesdecero123,371
Emx,100
EncycloPetey,853
Enfcer,769
Englishrose,705
Enric,415
Eon,319
Epousesquecido,102
Erechtheus,903
EricBarbour,518
Ericthered,117
ErikTheBikeMan,849
Ertz,409
Esowteric,878
Essjay,892
EstherRice,482
Eternalsleeper,682
Euphoria,546
Eusebeus,811
Evadb,681
Evanx,493
Everyme,586
Evolver,416
Excesses,791
Exlibris,525
Extransit,990
EyeMD,596
Eóin,931
FG,100
FT2,1051
Fabrictramp,1160
FaerieInGrey,682
Falsedef,468
Fastfission,737
Fattyjwoods,850
FayssalF,1108
Feddhicks,359
Femto,882
Ferdinand,409
Fethers,524
Fg2,893
FinalRapture,610
Finetooth,716
Finnancier,546
Firefoxman,102
FirstPrinciples,655
Fishpaste,132
Fladrif,613
Flamurai,635
Flehmen,399
Flibirigit,937
Flockmeal,598
Flowerpotman,934
Fluzwup,672
FlyingToaster,978
Folic,100
Fordmadoxfraud,1014
Forgone,117
Fossa,489
Foxj,105
Fraggle81,701
Francs2000,855
Frankie,681
Freakatone,163
Fredddie,925
FreeRangeFrog,1094
Freestylefrappe,713
FreplySpang,894
Frickeg,798
Frmatt,838
Frozen,112
Fsotrain09,659
Fullstop,720
Funeral,680
Funper,515
Fusionmix,809
Fuzbaby,573
Fys,897
G-Man,671
GBenemy,573
GGG65,429
GK,643
GRBerry,751
GT5162,639
GabrielF,863
Gadig,538
Gaillimh,626
Gamaliel,1106
Gandalf61,730
Ganfon,737
Ganymead,624
Gareon,419
Garion96,939
GaryColemanFan,1002
Gatoclass,954
Gaviidae,468
Gazwim,348
Gdr,820
GeeJo,764
Geneviève,506
Gentgeen,845
Geoffrey,100
Geometry,0
Georgewilliamherbert,955
Ghirlandajo,916
Ghosts&empties,540
Giants2008,819
Giggy,836
Gilesbennett,100
GillianKirk,171
Gimmetrow,1040
Giovanni33,568
GlobeGores,786
Gnangarra,1131
God,0
Goldamania,199
Goldom,886
Goo2you,424
Goodmorningworld,614
Gopal81,656
Gordonrox24,944
Gothnic,238
GrapedApe,741
Gray62,508
GreenGourd,590
Greggerr,441
Grenavitar,873
Greyhood,800
Grm,188
Gronky,719
GroundZero,189
GrumpyTroll,565
Grutter,665
Gscshoyru,763
Gtstricky,936
Guerillero,1197
Guldenat,631
Gurch,1128
Gutterball1219,253
Gwen-chan,551
Gwillhickers,909
Gzornenplatz,716
H3llkn0wz,104
HBow3,608
HKT,697
HWV258,102
Hackmiester,321
Haeleth,708
Hahnchen,826
HaiyaTheWin,611
HalfShadow,927
Ham,104
Hammersoft,1300
Happenstance,102
Happyme22,845
Harikishore,102
Harlem675,562
HarrisX,251
Hatmatbbat10,664
Havelock,372
Hawkeye7,1112
Hazard-SJ,795
Hcberkowitz,650
Hectorian,676
HeimAway,326
Heligoland,108
Hello32020,793
Hemlock,108
Henna,468
Hephaestos,672
HereToHelp,775
Herschelkrustofsky,538
Hex,1015
Heywool,186
HiDrNick,754
Hikingdom,386
Himalayan,0
Hive001,524
Holderca1,801
HomeJames,106
Honza,105
Hoovernj,506
HornetMike,829
Hossen27,700
Houstonbuildings,435
Hro%C3%B0ulf,765
HueSatLum,885
Hurricanefan24,520
Husond,1102
I,126
IBen,108
IFCAR,551
INeverCry,952
IShadowed,832
Iamawesome800,103
Ian13,881
Ianlopez1115,757
IceKarma,836
Icerinkprincess,132
Ichabod,698
Idleguy,691
Ignatzmice,916
Ihardlythinkso,891
Ikiroid,810
Illythr,679
Imageboy1,374
Imhungry,401
Impala2009,708
Impi,103
ImpuMozhi,748
Ineffable3000,720
InkSplotch,375
Innotata,963
Interestingstuffadder,707
Introvert,648
Ipatrol,940
Irishpunktom,615
IronDuke,642
Irpen,816
Isarig,100
Ishdarian,860
Islander,969
Isopropyl,792
It4chi,126
Itub,730
Ixfd64,1039
J-stan,977
J.smith,997
JBKramer,532
JCarriker,841
JDoorjam,765
JGGardiner,502
JJJJust,669
JPG-GR,1014
JWSchmidt,883
Jaberwocky6669,604
Jacj,661
Jackrm,467
Jakew,747
Jam01,576
James26,704
JamesTeterenko,971
JamieS93,1113
Jarkeld,985
Jasenlee,512
Jasper33,706
JavaTenor,727
Javit,717
JayHenry,814
Jayden54,703
Jaysweet,809
Jc3s5h,968
Jcobb,499
Jdavidb,740
JeanLatore,521
Jecowa,707
Jeendan,583
Jefffire,558
Jeffwang16,152
Jenks24,1140
JeremyMcCracken,738
Jessica,105
JetLover,919
Jfingers88,607
Jguk,802
Jhfireboy,103
Jigs41793,510
Jimmyvanthach,489
Jiuguang,0
Jkelly,926
Jmcw37,811
Jmundo,832
Jnk,587
Joanofanarchy,145
JodyB,1081
JoeSmack,724
Joelr31,876
Jogloran,630
John254,892
JohnHistory,402
Johnlp,883
JohnnyBGood,589
Johnuniq,1067
Jon513,832
Jonathan,103
Jongarrettuk,2
Joopercoopers,722
Jorgath,809
Joshbuddy,687
Jouke,115
Joy,1035
Jrdioko,627
Jsayre64,844
Jsharpminor,940
Jtkiefer,762
JuJube,1048
Judgesurreal777,766
Julle,778
Junes,469
Jusdafax,1158
Justanother,623
Justinc,658
Jwanders,639
K1Bond007,853
KI,668
KP,120
Kaguya-chan,100
Kakofonous,845
Kalogeropoulos,569
Kane5187,863
Kansan,754
Karanacs,906
Karim,398
Kashwialariski,209
Katefan0,975
Katr67,116
KazakhPol,660
Kchase02,146
Keb25,608
Keeper76,865
Keilana,1205
Kel-nage,545
KenDenier,504
KeptSouth,702
Kesac,839
Kf4bdy,727
Khaosworks,808
Khendon,547
Khvalamde,887
Kieff,102
Kikkokalabud,573
Killing,100
KimDabelsteinPetersen,715
Kinaro,617
Kingjeff,857
Kinneyboy90,553
Kirper,189
Kjetil,505
Klanda,454
Knowpedia,698
KojiDude,839
Kommondant,162
Korg,805
KoshVorlon,822
Kpps,130
Kranar,0
Krazycev13,116
Krimpet,103
Krystyn,102
Ktr101,978
Kubura,561
Kumioko,656
Kungming2,846
Kusonaga,733
Kww,1154
Kyoko,694
L,169
LaMenta3,799
Lagrange613,811
Lamberhurst,688
Langloisrg,447
Lapinmies,682
LarryQ,634
Lawlore,432
Lbmixpro,129
Ldvnsx,142
Leaky,100
Lectrice007,160
Leeboyge,270
Lego3400,520
Leibovits,212
Leland,540
Leoboudv,863
Leonard^Bloom,941
LesleyW,571
Lethaniol,636
Leujohn,739
Liface,749
Light,100
Limegreen,667
Lincher,728
Linguisticgeek,784
Linzer2002,108
LiquidGhoul,630
LittleBenW,506
LizardWizard,690
Lmcelhiney,620
Lockeownzj00,615
Logicwiki,668
Lommer,629
LonelyMarble,660
Loonymonkey,824
LordNasher,215
Lordkazan,574
Lost,106
Lou,103
LoveUxoxo,542
Lowercase,505
LtWinters,458
Lucky,100
Luckytoilet,307
Lugnad,685
Luk,1149
LukeTheSpook,792
Luminifer,616
Lupo,907
Lvklock,644
Lympathy,690
M1ss1ontomars2k4,808
MBK004,1001
MJ94,878
MONGO,1039
MSGJ,1212
MWOAP,109
MacGyverMagic,1034
Mackensen,1021
Macy,844
Madd4Max,362
Magicalsaumy,566
Magpie1892,420
Majorly,1058
Malber,620
Male1979,718
Mallarme,519
Maltmomma,583
Mangoe,924
Mann,169
Mantanmoreland,657
ManymerrymenmakingmuchmoneyinthemonthofMay,500
Marciamaria,350
MarcoTolo,717
Marcusmax,874
Margana,466
Mark83,755
MarkS,682
Marknew,608
MarkusRTK,299
Marriedtofilm,590
Martijn,430
Martinp,669
Martyman,852
Masculinity,435
MastCell,1016
Masterhatch,829
Matchups,751
Matheuler,264
MatriX,552
MattWT,100
Matthead,798
Matthewedwards,814
Mattl2001,538
MauchoEagle,682
Maveric149,103
MaxPont,538
MayhemMario,114
Mbecker,635
Mbz1,737
Mcferran,764
Mdann52,1191
Mdob,565
MeegsC,836
Mehran,691
Mel,100
Melburnian,973
Memmke,376
Mercury,133
Merorffjs,103
Message,105
Metamagician3000,802
Metzujan,515
Mgillfr,100
Miacek,747
Michael93555,744
MichelleG,402
Microchip08,644
Midnighttonight,639
Mig11,513
Mike,329
Mike411,516
MikeJ9919,680
Mikeage,373
Mikhailov,101
MilborneOne,1078
Millosh,613
MinaretDk,367
Minfo,678
Minor4th,780
Mir,100
Mirlen,641
Missmarple,663
MisterHand,792
Misza13,794
Mixwell,115
Mkweise,654
Mmcknight4,610
Mnemeson,753
Moabdave,890
Moe,100
Mohamed,105
Molestash,631
Monedula,587
Monkbel,113
Monobi,583
Monty845,1198
MoonLichen,478
Morenoodles,536
Moriori,837
Morwen,1081
Moxy,1101
MrDarcy,804
MrMacMan,719
MrRadioGuy,822
MrZaius,125
Mrjingjing,290
Mrmoocow,525
Mrt50,169
Mtking,848
Muchness,871
Multichill,615
Murgh,772
Mushroom,1101
Mutebutton,380
Mww113,625
MyRedDice,103
Mynameinc,684
Mysidia,762
Mythio,320
N419BH,803
NCurse,720
NSR77,731
Naconkantari,102
Nagy,669
Nanami,100
Nanshu,593
Narutolovehinata5,1197
Nat91,560
Nathan,870
NativeForeigner,1180
NatusRoma,711
Navnløs,704
Ncmvocalist,788
Nebular110,613
Nehrams2020,952
Nekto,308
NeoNerd,509
Netesq,647
Netsnipe,967
Neurophyre,625
Neutron,624
Newsjunkie,513
NiceHotShower,315
Nick,1165
NickDupree,563
Nicklew,166
Nielswik,558
NigelPScott,205
Nightstallion,941
Nilfanion,695
Ninjalemming,542
Nirvana888,621
Niteshift36,1031
Nja247,102
Nmajdan,912
No,138
Nobleeagle,660
Node,100
Noisalt,515
Noleander,845
Noon,515
Normandy,292
Nosmo,418
Nothing444,563
Novalis,563
Novidmarana,471
Nrcprm2026,614
NubKnacker,593
Nuggetboy,555
Nunh-huh,826
Nyikita,504
Nzd,880
OLP1999,541
ObRoy,540
Obli,795
Obuibo,40
Ocee,819
Oddbodz,955
Offliner,103
Ohiostandard,734
Okiefromokla,864
Oldlaptop321,668
Olin,443
Olorin28,750
Omegatron,875
Omni,152
Onceonthisisland,659
OohBunnies!,723
Opes,512
OrbitOne,634
Oreos,506
Orizon,440
Orpy15,510
OsamaK,634
Ossmann,104
Otisjimmy1,776
Otterathome,654
Outerlimits,538
OwenX,1052
Ozob,663
P.wormer,471
PAR,746
PGWG,728
PJBoellaard,111
PMDrive1061,921
PRODUCER,104
PSUMark2006,805
PaleAqua,752
Palnu,570
Pantherskin,552
Paradiso,662
Paranomia,623
Part,502
Pasboudin,433
Passionless,534
Patar,116
Patman21,501
Patricknoddy,657
Patton123,819
Paulmcdonald,937
Pax85,885
Pcb21,702
PeaceNT,1156
Pedant,825
PeepP,104
Pelzi,100
People,125
Peregrine,447
Peripatetic,839
Perseus8235,504
Peter.C,817
Peterwats,312
Petros471,102
Pfrancois,239
Pgunn,556
Philcha,837
Philippe,1066
Philx,504
Phr,711
Physchim62,929
Pichpich,973
Pigman,108
Pilatus,650
Pinball22,798
Pipermantolisopa,314
Pitchka,642
Pladask,625
Plot,100
Pmeisel,600
Pocopocopocopoco,711
Pogogunner,468
Pokey5945,413
Polarlys,570
"Police,Mad,Jack",587
Politoman,208
Polotet,558
Pomte,643
PookeyMaster,608
Porchcrop,103
Possum,104
Power.corrupts,723
Prashanthns,937
Prioryman,1019
Proabivouac,686
Project2501a,642
Proofreader77,674
Protonk,899
Pseudo-Richard,835
Publunch,572
Pumpmeup,828
Pupster21,680
Purplefeltangel,608
Pv7721,102
Qjuad,487
Qst,926
Quantpole,798
Quartermaster,810
Quendus,446
Quigley,525
Qviri,528
Qwyrxian,1060
R'son-W,592
R613vlu,523
REX,356
RFerreira,647
RHaworth,1072
RMHED,651
Rabbeinu,437
Rackabello,717
Radicalsubversiv,707
Radomil,519
Ragesoss,870
Rahulchoudhary003,102
RajeshPandey,511
Ram-Man,771
Rambo,304
Ramitmahajan,843
Randfan,573
RandomStringOfCharacters,802
RashersTierney,897
Rat,180
Ravedave,565
Raystorm,580
Rbil88,115
Rd232,875
Rebroad,681
Red,631
RedZebra,555
Redeemer079,452
Redwolf24,760
RelHistBuff,619
Renata3,1058
Reperire,398
ResidentAnthropologist,802
Ret.Prof,702
Reubzz,475
Revived,600
Rewtguy,132
Reyk,816
Rhion,544
Richardchilton,400
Richman271,506
RickK,898
Riffsyphon1024,746
Rin,799
Risker,1227
Rividian,755
Rklawton,1030
Rmhermen,1054
Ro098,361
RobNY,323
RobertG,954
Robludwig,171
Robth,676
RockMagnetist,864
Rocksanddirt,843
Rodii,712
Roger,115
Roisterer,901
Ron,39
Ronjones,318
Roo72,484
Rory096,888
Rossrs,804
Roux,913
Royalguard11,910
Rrburke,1071
Rsrikanth05,1200
Ruennsheng,476
Runcorn,722
Ruslik0,1139
Ruud,102
RyanLupin,104
S9,209
SCZenz,872
SGGH,1007
SL93,1077
SOADLuver,601
SRX,102
SUL,516
Saalstin,838
Saebvn,632
Sahilm,539
Saksham,574
Salix,473
Saltmarsh,686
Salvio,100
Samboy,809
Samsara,1002
Samwb123,752
Sandman888,625
Sango123,948
Santhoshguru,102
Sarg,701
Sarz,524
SassyLilNugget,519
SatyrTN,871
Sbharris,794
Scarce,762
Scheinwerfermann,804
SchmuckyTheCat,1053
Schrandit,100
Schwalbe,350
Scientizzle,1074
Scorpion0422,1037
ScottDavis,964
ScottyBerg,858
Scuro,558
Seahorseruler,839
SeanMD80,744
Seaphoto,1019
Seav,904
Sebleouf,790
Secretlondon,1148
Seicer,975
Selmo,764
Sengkang,733
Separa,418
Seresin,941
Serinde,490
SesquipedalianVerbiage,109
Sethmahoney,650
Sf46,823
Sgt.,0
Shadowjams,1084
ShakespeareFan00,799
Shanata,694
Shannon,131
Sharkface217,727
ShaunES,561
Shawnpoo,136
Shelburne,115
Shenzhou,303
Shimdidly,325
Shindo9Hikaru,625
Shipmaster,468
Shirulashem,875
Shoessss,718
Short,100
Showtime2009,641
Shubinator,748
Shushruth,644
Siawase,851
Sietse,571
Silly,112
Silverback,622
Simesa,668
Simonfairfax,578
SimpsonsFan2008,343
Singopo,581
SiobhanHansa,835
Sirkad,512
Sjones23,1106
SkerHawx,803
Skybum,519
Skywolf,466
Slatersteven,1121
Slicky,508
Slivester,621
SluggoOne,599
Smartguy777,383
Smee,738
Smiley77,463
Smitty,542
SmokeyJoe,958
SmthManly,766
Snakese,265
Snek01,732
Snowfire51,104
SoCalSuperEagle,974
SobaNoodleForYou,622
Sodabottle,879
Solarra,1071
Solipsist,831
Soman,916
Someguy1221,1062
SonicAD,660
Sophitus,702
SorryGuy,869
Soulresin,333
Sp00n17,529
Spacepotato,898
Sparkit,705
Spartiate,535
Spazure,711
Speciate,724
Spellcast,1074
SpiceMan,594
SpikeToronto,890
Spitfire,954
Spm,439
Spyfox5400,250
SquidSK,878
Srevi,148
St.daniel,787
Staffelde,634
StanZegel,622
StarryEyes,592
Staxringold,911
Steel,908
Steelviper,294
Steinsky,798
Stephen,1182
Stereotek,533
SteveMcCluskey,718
StevenBlack,595
Steveshelokhonov,514
Stfg,697
Stillnotelf,659
Stlemur,105
Stormz,323
Stratosphere,674
Strikeout,100
Stromcarlson,527
Stuartyeates,1020
Stupid2,445
Subwayguy,796
Sugarpine,385
Sultec,612
SunCountryGuy01,710
Sundar,780
Sunsetsunrise,497
SupaStarGirl,573
SuperMarioMan,1158
Superlex,557
Surajt88,791
SusanLesch,870
Susvolans,659
SweetCarmen,454
Swirlex,489
Sxeptomaniac,620
Synchronism,835
Syrcro,423
Szyslak,825
TDC,674
TJRC,1132
TTTSNB,104
TabooTikiGod,529
Tagishsimon,964
TallNapoleon,821
Tangotango,812
Tanthalas39,1012
Tarawneh,606
Tarquin,666
Tasoskessaris,108
Taxman,851
Tdevries,500
Tealwisp,563
Teeninvestor,710
Tellarin,678
Tempodivalse,835
Tenmei,102
Terse,485
Tevildo,768
Texture,781
Tgr,493
ThatPeskyCommoner,890
TheChief,363
TheDestitutionOfOrganizedReligion,325
TheGeneralUser,1034
TheNautilus,544
TheOverflow,418
TheProject,856
TheRedPenOfDoom,900
TheTrueSora,511
Thecheesykid,701
Thedreamdied,567
Theirrulez,597
Theleftorium,906
Thenub314,600
Theoneintraining,573
Thesaddestday,552
Thewanderer,691
Thivierr,962
Thompson.matthew,768
ThoseStarsBurnLikeDiamonds,102
Thrillainmanila,142
Thumbelina,414
ThuranX,803
Tiddly,100
Tijfo098,636
TimVickers,1119
TimidGuy,731
Timothy,628
Timwi,879
Tinucherian,874
Tjc,455
Tlogmer,698
Tnayin,514
Tobyk777,605
Tofutwitch11,904
Tolly4bolly,1016
TomStar810,246
Tombseye,555
Tommy,100
Tompw,823
Tonym88,593
Topher385,917
Torreslfchero,103
Tow,916
Tparameter,575
Transity,740
TravisTX,956
Tree,296
Tregoweth,809
Trey56,347
Trilobite,747
Trnj2000,653
Trooperz,144
TruthCrusader,549
Tryptofish,1091
Ttyre,445
TucsonDavid,767
Tuomas,606
Turningpointe,171
Tutthoth-Ankhre,457
Tvaughn05,576
Twilight,458
Twooars,681
Tyler,708
Tyson,100
UBeR,656
Ubelowme,645
Ubikwit,568
Ugen64,787
Ukexpat,1200
Umedard,523
Underneath-it-All,628
UninvitedCompany,870
Universal,164
Unschool,878
Urhixidur,868
Useight,1130
Utopianheaven,478
V838,107
VKokielov,540
Vacation9,1009
Vald,659
Valley2city,1086
VanM,140
Vanisaac,904
Variable,102
Vassyana,878
VectorPosse,544
Vejvančický,1007
VernoWhitney,1110
VeryVerily,713
Vibhijain,921
VickiZ,462
Vilcxjo,488
Violetriga,917
Vishwin60,102
Visviva,921
VivianDarkbloom,579
Vizjim,737
VltavaHF,141
