,username,total_score,categ1,categ2,categ3,categ4,idx_PV
2332,DrBob,634.0,Technology,Physics,Engineering,Information,4528.0
2333,DrHydeous,426.0,Geography,Communication,Government,Entities,6348.0
2334,DrKay,,Royalty,History,,,
2335,DrL,590.0,Philosophy,Science,Society,Psychology,4178.0
2336,DrPepperSamurai,451.0,Entertainment,Technology,Life,Food and drink,
2337,DrZoidberg,246.0,,,,,7345.0
2338,DracoEssentialis,470.0,,,,,3483.0
2339,Dradin,269.0,Science,Knowledge,Concepts,Other,6278.0
2340,Draeco,712.0,Geography,War,Entertainment,History,3382.0
2341,Draftydoor,260.0,Health,Law,Mass media,Society,4413.0
2342,Dragomiloff,637.0,Technology,Nature,Human behavior,Military,1604.0
2343,Dragon695,575.0,Technology,People,Business,Government,1019.0
2344,DragonRouge,449.0,Internet,Politics,Religion,Culture,4203.0
2345,Dragonfiend,715.0,Internet,Entertainment,Arts,Other,4778.0
2346,DragonflySixtyseven,1109.0,,,,,223.0
2347,Draicone,573.0,Technology,Education,Science,Media,1267.0
2348,Dralwik,851.0,Lists,Geography,Society,Law,6988.0
2349,Dravecky,881.0,People,Sports,History,Mass media,1721.0
2350,Drboggs,102.0,,,,,5587.0
2351,Drboisclair,684.0,Religion,Philosophy,Literature,History,3988.0
2352,Drbug,545.0,History,Geography,Government,Culture,3400.0
2353,Drdak,544.0,Education,Society,Mass media,Places,3230.0
2354,Dreaded,100.0,,,,,
2355,Dreadstar,1003.0,Philosophy,Entertainment,People,Food and drink,256.0
2356,DreamGuy,766.0,Religion,Human behavior,Concepts,Mythology,2737.0
2357,DreamHaze,628.0,Literature,Society,Places,Entertainment,4276.0
2358,Dreamafter,669.0,Military,Technology,History,Lists,1087.0
2359,Dreamspy,611.0,People,Culture,Time,Government,2010.0
2360,Dreddnott,412.0,Politics,Law,Science,Culture,4506.0
2361,Dreftymac,711.0,Information,Technology,Concepts,Education,2668.0
2362,Drew,126.0,,,,,
2363,Drewcifer3000,682.0,Music,Entertainment,Culture,Discography,3508.0
2364,Driken,356.0,Education,Entertainment,Technology,Arts,7043.0
2365,Drini,104.0,Geography,,,,564.0
2366,Drizzt,102.0,Other,,,,
2367,Drjmarkov,664.0,Government,Society,Geography,,6333.0
2368,Drla8th!,339.0,Internet,Science,Technology,Entertainment,3844.0
2369,Drmaik,633.0,Language,Culture,Food and drink,,3366.0
2370,Drmargi,892.0,Mass media,Lists,Entertainment,,4329.0
2371,Drmies,,Literature,Arts,Religion,History,
2372,Drn8,525.0,Education,Technology,Nature,Culture,4980.0
2373,Drogo,382.0,Sports,People,Geography,,
2374,Droll,739.0,Geography,,,,4725.0
2375,Dromioofephesus,608.0,Government,Law,Mass media,Philosophy,6935.0
2376,DropDeadGorgias,826.0,Entertainment,History,Lists,Technology,1643.0
2377,DrumstickJuggler,670.0,Entertainment,People,Society,Unnamed,4156.0
2378,DrunkenSmurf,657.0,Education,People,Sports,Technology,2754.0
2379,Dryman,523.0,Health,Politics,Religion,Science,1504.0
2380,Ds.mt,387.0,Culture,History,Military,Other,6711.0
2381,Dschwen,612.0,Architecture,Engineering,Geography,Technology,3012.0
2382,Dsmdgold,811.0,Arts,Lists,Nature,Society,6472.0
2383,Dspserpico,705.0,,,,,5284.0
2384,Dtbohrer,102.0,,,,,6510.0
2385,Dtobias,936.0,Politics,Entertainment,Philosophy,Internet,1309.0
2386,Dual,100.0,,,,,
2387,Ducknish,960.0,Law,Drugs,Geography,Mass media,2371.0
2388,Dudesleeper,108.0,Food and drink,Culture,,,5873.0
2389,Duja,904.0,Government,Language,History,Society,1501.0
2390,Duk,704.0,Technology,Energy,Engineering,Military,392.0
2391,Duke,100.0,,,,,
2392,Duke53,531.0,People,Religion,History,Sports,5487.0
2393,DukeEgr93,628.0,Education,Sports,Technology,Entities,7096.0
2394,DukeOfDuchessStreet,526.0,,,,,1674.0
2395,Dumelow,925.0,History,Engineering,Lists,Military,4880.0
2396,DuncanHill,,Culture,Politics,Literature,History,
2397,Duncharris,801.0,Science,Philosophy,History,Nature,1494.0
2398,Dunemaire,614.0,History,Geography,Entertainment,People,5773.0
2399,Dungodung,625.0,Automobiles,Culture,Travel,Sports,2823.0
2400,Dureo,685.0,History,Law,Locations,People,284.0
2401,Durin,904.0,Places,Architecture,Literature,War,944.0
2402,Durova,1017.0,History,Health,Science,Society,548.0
2403,Dussst,525.0,Internet,Business,Gaming,Media,6602.0
2404,DustFormsWords,724.0,Historical figures,Religion,Education,Politics,1934.0
2405,Dusti,1167.0,Education,Sports,Lists,Film,2217.0
2406,Dustihowe,100.0,,,,,560.0
2407,Dustimagic,829.0,Education,Transportation,Scouting,Travel,1600.0
2408,Dusty777,705.0,Disaster,Television,Space,Food,3947.0
2409,Dvortygirl,431.0,Geography,Food and drink,Entertainment,History,2637.0
2410,Dvyost,636.0,History,People,Government,Military,2113.0
2411,Dw290,208.0,Sports,People,Entertainment,Technology,6354.0
2412,Dwaipayanc,969.0,Culture,Geography,Entertainment,Media,419.0
2413,Dwanyewest,902.0,Lists,Entertainment,Media,Other,5691.0
2414,Dwayne,841.0,Education,Business,Internet,Government,602.0
2415,DwayneFlanders,100.0,,,,,6755.0
2416,Dweller,1111.0,Sports,History,People,Media,137.0
2417,Dwheeler,584.0,Technology,Law,Internet,Knowledge,5528.0
2418,Dwr12,385.0,Food and drink,Entertainment,Nature,Culture,3390.0
2419,Dycedarg,749.0,Politics,Entertainment,Culture,Society,2098.0
2420,Dylan620,1033.0,Nature,Lists,History,Time,286.0
2421,Dylandlima,420.0,Education,Geography,Entities,Society,2849.0
2422,Dylanfromthenorth,817.0,Entertainment,People,Lists,Other,3955.0
2423,Dylant07,484.0,Education,Culture,Sports,Technology,7486.0
2424,Dynaflow,932.0,Academic disciplines,Education,Information,Society,3570.0
2425,Dysepsion,814.0,Culture,People,History,Military,3338.0
2426,DyslexicEditor,108.0,,,,,7400.0
2427,Dysprosia,738.0,Humanities,Philosophy,Technology,Society,2769.0
2428,E,107.0,,,,,1057.0
2429,E104421,569.0,History,Culture,Military,Nature,2862.0
2430,E2eamon,778.0,Science,Geography,Lists,Health,2626.0
2431,EDGE,524.0,Entertainment,Politics,Other,Concepts,7137.0
2432,EEMIV,1012.0,Entertainment,Science Fiction,Military,Technology,2346.0
2433,EFG,503.0,Religion,History,Politics,Society,3981.0
2434,EJF,841.0,Geography,Climate,Education,Nature,208.0
2435,EKN,371.0,Humor,Popular Culture,Sports,Celebrities,6116.0
2436,ERK,740.0,Business,Law,Government,Military,1787.0
2437,ERcheck,1183.0,Military,Politics,List,People,6165.0
2438,ESkog,1039.0,Education,Business,Media,Culture,579.0
2439,EVula,1109.0,Entertainment,Gaming,Fictional Characters,Pop Culture,352.0
2440,EWS23,912.0,Health,Environment,Media,Sports,388.0
2441,EZ1234,608.0,Military,History,Lists,War,5965.0
2442,EagleEyes,458.0,History,Entertainment,Lists,Philosophy,5410.0
2443,Eagleamn,732.0,Geography,Government,Economy,Society,6102.0
2444,Eagles247,1281.0,Sports,People,Entertainment,Culture,738.0
2445,Eaglestorm,608.0,Entertainment,Technology,Other,Media,6413.0
2446,Eahiv,107.0,Science,Internet,,,5852.0
2447,Ealdgyth,,History,Humanities,Politics,Religion,
2448,Eaomatrix,523.0,Television,Sports,Fashion,Health,4512.0
2449,Earlypsychosis,676.0,Medicine,Psychology,Society,Education,5769.0
2450,Earth,763.0,Geography,History,Culture,Economy,3368.0
2451,Earthbendingmaster,110.0,,,,,2418.0
2452,Eastlaw,940.0,Law,Government,Economy,Knowledge,6426.0
2453,EatAlbertaBeef,449.0,History,Economy,Politics,Philosophy,6536.0
2454,Eatpeaches,152.0,Entertainment,Music,Culture,,7314.0
2455,EatsShootsAndLeaves,760.0,,,,,2851.0
2456,EauOo,541.0,Nature,Science,Biology,Geography,2710.0
2457,Ebe123,957.0,Health,Technology,Law,Society,1956.0
2458,Ebyabe,,People,Entertainment,Culture,History,
2459,EchetusXe,1011.0,Sports,People,Entertainment,Society,5539.0
2460,Echuck215,724.0,Technology,Military,Disambiguation,Education,1372.0
2461,Eclectek,569.0,Education,Religion,Culture,Geography,6628.0
2462,Eclecticology,671.0,Mass media,Politics,Science,Lists,7093.0
2463,Eclipsed,809.0,Food and drink,Business,Technology,Culture,4547.0
2464,Ecoleetage,888.0,History,Religion,Entertainment,Culture,118.0
2465,EconomicsGuy,693.0,Politics,Media,Arts,Philosophy,1758.0
2466,Ecpiandy,1038.0,Television,Film,Arts,Health,
2467,Ed,720.0,Technology,Society,Government,Literature,5091.0
2468,Ed!,801.0,Military,History,People,Conflict,6897.0
2469,Ed-it,183.0,Geography,Sports,Philosophy,Law,6245.0
2470,EdBever,741.0,Infrastructure,History,Art,Disaster,3194.0
2471,EdChem,821.0,Chemistry,Biography,Science,Education,2326.0
2472,EdEColbert,607.0,American History,Culture,Environment,Politics,5774.0
2473,EdGl,795.0,Music,Religion,Media,Comics,6044.0
2474,EdJohnston,1252.0,Technology,Science,Literature,Information,102.0
2475,EddEdmondson,526.0,Science,Universe,Technology,Entertainment,3265.0
2476,Eddideigel,641.0,,,,,7365.0
2477,Eddie,221.0,,,,,
2478,Eddie6705,876.0,Sports,Entities,Lists,Society,5203.0
2479,EddieSegoura,726.0,Mass media,Sports,Culture,Other,1436.0
2480,Edgar181,,Chemistry,Life,Concepts,Energy,
2481,Edgarde,949.0,Television,Culture,Human behavior,Politics,1359.0
2482,Edgerunner76,490.0,History,Entertainment,Philosophy,Information,4652.0
2483,Edinborgarstefan,529.0,Geography,History,People,Culture,3532.0
2484,Edison,1030.0,Technology,Science,History,Entities,1610.0
2485,EditMan9000,102.0,,,,,7389.0
2486,Editing,295.0,Education,Government,Entities,People,
2487,Editor at Large,617.0,Arts,Literature,Dance,Music,4294.0
2488,Editor88,410.0,Geography,History,Law,Nature,3457.0
2489,Editorofthewiki,980.0,Politics,Society,History,People,214.0
2490,Editpower100,164.0,Entertainment,Religion,Economy,Science,5794.0
2491,Editwriter2300,101.0,,,,,7416.0
2492,Edivorce,655.0,Culture,Politics,History,Technology,1136.0
2493,EdmundEzekielMahmudIsa,202.0,,,,,5815.0
2494,Edokter,841.0,Television,Entertainment,Lists,Other,2510.0
2495,Edtropolis,321.0,Engineering,Geography,Health,Military,7062.0
2496,Edward,892.0,Transportation,Law,Society,Medicine,7306.0
2497,Edward130603,690.0,Philosophy,Culture,Biology,Music,5061.0
2498,Edward321,880.0,Fiction,Society,Lists,Culture,3538.0
2499,EdwardZhao,695.0,Entertainment,Education,Geography,Technology,2077.0
2500,Edwin,448.0,Health,Government,Medicine,Biology,
2501,Edwy,656.0,History,Language,Military,Society,2524.0
2502,Eeekster,881.0,Entertainment,Animals,Time,People,2757.0
2503,Eekim,,,,,,
2504,Eequor,808.0,Religion,Science,Philosophy,Lists,5556.0
2505,Efansay,369.0,History,Technology,Engineering,Nature,6539.0
2506,Efcmagnew,542.0,Food and drink,Education,Politics,Health,3866.0
2507,Efe,996.0,Entertainment,Music,People,Culture,5337.0
2508,EffK,442.0,,,,,5971.0
2509,Egg,448.0,Mathematics,Science,Physics,Philosophy,
2510,Egil,929.0,Geography,History,Culture,Media,5434.0
2511,Eglinton2,127.0,,,,,5833.0
2512,Egon,548.0,Technology,Transportation,Geography,Society,7474.0
2513,Ehheh,629.0,,,,,2822.0
2514,Ehhhe,,Entertainment,Internet,Gaming,Robotics,
2515,Einsteinewton,547.0,Fiction,Education,Culture,History,6156.0
2516,Eivind,485.0,People,Religion,Arts,Geography,
2517,Ejgreen77,900.0,Sports,University,Media,Politics,4854.0
2518,Ejm546,114.0,Literature,Other,,,7329.0
2519,Ejrrjs,616.0,,,,,2947.0
2520,Ejrrs,,Language,Geography,Food and drink,Culture,
2521,Ekantik,635.0,,,,,3758.0
2522,Ekki01,716.0,History,Military,Geography,Government,6331.0
2523,El.Bastardo,427.0,People,Geography,British culture,Other,5679.0
2524,ElAmericano,613.0,Religion,Politics,Science,Technology,6189.0
2525,ElBenevolente,700.0,Health,Medicine,Pharmacology,Disease,2587.0
2526,ElKevbo,1095.0,Education,University,United States history,Hacker culture,1586.0
2527,Elahrairah,899.0,People,Politics,History,Culture,
2528,Elaragirl,731.0,Economy,Military technology,Biography,International finance,856.0
2529,Elaragirl(AWB),324.0,Pop culture,Music,Arts,Media,6825.0
2530,ElbridgeGerry,535.0,Sports,Technology,Software,European culture,3584.0
2531,Eldereft,102.0,,,,,2234.0
2532,ElectricEye,579.0,World leaders,Intelligence agencies,Somalia,Pop music,4886.0
2533,ElectricRay,579.0,Biography,Geography,Philosophy,Politics,3600.0
2534,Electrical,101.0,,,,,
2535,Electriccatfish2,967.0,Government,Geography,Business,Society,1026.0
2536,Eleemosynary,593.0,Politics,Law,Media,People,3548.0
2537,Elekhh,883.0,Architecture,Geography,Information,Lists,3473.0
2538,Elektrik,134.0,,,,,
2539,Eleland,758.0,History,Military,Politics,Religion,3662.0
2540,Elen,100.0,,,,,
2541,Elenseel,597.0,Education,Health,Society,People,3676.0
2542,EleoTager,361.0,Technology,Entertainment,Science,Other,4924.0
2543,Elephantus,445.0,Humanities,Culture,Geography,History,2934.0
2544,Elf,800.0,Animals,Entertainment,Geography,Lists,3597.0
2545,Elf-friend,729.0,Military,Geography,Culture,Media,1547.0
2546,Eliade,455.0,Geography,History,Politics,Culture,3626.0
2547,Elian,467.0,Culture,History,Religion,Society,3500.0
2548,EliasAlucard,690.0,Culture,History,Military,Politics,5615.0
2549,Eliezer,100.0,,,,,2382.0
2550,EliminatorJR,103.0,,,,,1340.0
2551,ElinorD,858.0,Culture,Education,Food and drink,Health,892.0
2552,Elipongo,799.0,Geography,Government,Information,Lists,6182.0
2553,ElisaEXPLOSiON,540.0,Entertainment,Health,History,People,7056.0
2554,Eliyohub,287.0,Business,Economy,Law,Society,4712.0
2555,Eliz81,1105.0,Entertainment,History,Society,Sports,1291.0
2556,Elizium23,1119.0,Culture,Religion,Society,Technology,3995.0
2557,Elkman,1076.0,Geography,History,Sports,Transportation,193.0
2558,Elliskev,748.0,Government,History,Military,People,4564.0
2559,Elockid,1002.0,Economy,Geography,Lists,Statistics,1283.0
2560,Elonka,1035.0,History,Military,Culture,Religion,1119.0
2561,Eloquence,751.0,Society,Science,Media,Philosophy,2134.0
2562,Elrith,585.0,Sports,Entertainment,Military,Politics,5418.0
2563,Eluchil,541.0,Entertainment,Technology,Humanities,Other,3089.0
2564,Eluchil404,854.0,Entertainment,People,Geography,Government,188.0
2565,Elucidate,611.0,Art,Biology,Culture,Media,5065.0
2566,Elvey,849.0,Business,Law,Health,Science,6226.0
2567,Emarsee,730.0,Culture,Information,Geography,Mass media,4998.0
2569,Emc2,674.0,,,,,2169.0
2570,Emily~enwiki,537.0,Geography,Food and drink,Entities,Lists,
2571,Emma Caroline,849.0,Science,Mathematics,Technology,Other,
2572,Emmelie,282.0,Sports,History,Geography,Entertainment,5493.0
2573,Emperor,802.0,Mass media,Comics,Literature,Philosophy,5305.0
2574,Empezardesdecero123,371.0,,,,,6352.0
2575,Empoor,570.0,Music,Pop culture,Celebrities,Science,6705.0
2576,Empty2005,637.0,Movies,Video games,Horror,Technology,7115.0
2577,Ems2,618.0,Religion,Computers,Evolution,Society,6978.0
2578,Emufarmers,729.0,Law,Music,Sports,Education,1988.0
2579,Emx,100.0,,,,,7219.0
2580,EnDaLeCoMpLeX,831.0,Music,Pop culture,Celebrities,Albums,4266.0
2581,EncMstr,1221.0,Geography,Transportation,History,Internet,3295.0
2582,Encephalon,749.0,Health,Arts,Weather,Politics,485.0
2583,EncephalonSeven,446.0,Politics,Science,Society,Religion,4153.0
2584,EncycloPetey,853.0,Biology,Health,Science,Nature,1826.0
2585,Encyclopedist,629.0,Military,History,Government,Culture,347.0
2586,Endlessdan,742.0,Entertainment,Sports,People,Technology,2274.0
2587,Endroit,769.0,Geography,Society,Culture,Economy,4587.0
2588,Enfcer,769.0,People,Technology,Natural Disasters,Law,2360.0
2589,EngineerFromVega,527.0,Technology,Engineering,Business,Religion,2249.0
2590,EngineerScotty,831.0,Transportation,Sports,Technology,Communication,6329.0
2591,EnglishEfternamn,562.0,Politics,Entertainment,History,Philosophy,6447.0
2592,Englishrose,705.0,Sports,Society,Culture,Media,2189.0
2593,EnigmaMcmxc,785.0,Military,History,Government,War,5283.0
2594,Enigmaman,1173.0,Sports,People,Entertainment,History,822.0
2595,Enkyo2,808.0,History,Geography,Government,Military,
2596,Enochlau,919.0,Education,Culture,Science,Other,984.0
2597,Enric,415.0,Geography,People,Places,Other,
2598,EnsRedShirt,706.0,Business,Entertainment,Lists,Technology,2741.0
2599,Enti342,739.0,Politics,Religion,Media,Sports,4681.0
2600,Enviroknot,313.0,Conflict,Terrorism,Society,Philosophy,6541.0
2601,Eoghanacht,714.0,History,Recreation,Government,Places,6125.0
2602,Eon,319.0,Geography,History,Military,People,5236.0
2603,Epbr123,,Places,Entertainment,Culture,Nature,
2604,Epeefleche,,,,,,
2605,Epicgenius,,Geography,Transportation,History,Society,
2606,Epipelagic,993.0,Nature,Biology,Environment,Food and drink,1957.0
2607,Epousesquecido,102.0,,,,,2902.0
2608,Epthorn,626.0,Education,Entertainment,People,Other,2783.0
2609,Equazcion,977.0,Health,Technology,Culture,Politics,3110.0
2610,Equendil,786.0,Military,History,Architecture,Religion,3969.0
2611,Erachima,816.0,Entertainment,Concepts,Culture,,
2612,Erakura,961.0,People,Communication,Information,Technology,
2613,Eraserhead1,1007.0,Technology,Economy,China,Society,2119.0
2614,Erechtheus,903.0,Law,History,Culture,Sports,2607.0
2615,Eric,859.0,,,,,
2616,Eric-Wester,737.0,Entertainment,Sports,Culture,Military,5634.0
2617,EricBarbour,518.0,Science,Technology,Geography,Nature,4735.0
2618,EricV89,102.0,,,,,2545.0
2619,Ericg,565.0,Technology,Transportation,Engineering,Military,7151.0
2620,Ericorbit,1003.0,Mass media,Entertainment,Lists,Music,989.0
2621,Ericthered,117.0,,,,,7255.0
2622,Erik,1101.0,Entertainment,Film,Society,Culture,2064.0
2623,Erik9,761.0,People,Culture,Other,Geography,1164.0
2624,ErikHaugen,1045.0,Nature,Society,Science,History,835.0
2625,ErikNY,631.0,Business,Media,Politics,Sports,5664.0
2626,ErikTheBikeMan,849.0,Literature,Entertainment,Culture,Technology,662.0
2627,Erikeltic,596.0,Culture,Sports,Fictional characters,History,5948.0
2628,Erikster,115.0,Religion,Mythology,Other,Society,6828.0
2629,Errabee,571.0,Literature,History,People,Culture,1462.0
2630,ErrantX,976.0,History,Military,Law,Government,2606.0
2631,Ertz,409.0,History,Politics,Geography,People,5166.0
2632,Erwin,574.0,Nonprofit organizations,Finance,Culture,Geography,
2633,Eskimospy,531.0,Religion,Entertainment,Sports,Philosophy,4193.0
2634,Esoglou,596.0,Religion,Theology,Society,History,5383.0
2635,Esowteric,878.0,Literature,Cultural studies,Biography,Travel,2855.0
2636,Espresso,100.0,,,,,
2637,Esprqii,860.0,Sports,Politics,Education,Business,4491.0
2638,Esrever,872.0,Education,Business,Culture,People,5763.0
2639,Essexmutant,773.0,Sports,Entertainment,Lists,People,1081.0
2640,Essjay,892.0,Religion,Politics,Geography,Society,590.0
2641,EstebanF,524.0,Entertainment,People,Geography,Sports,2162.0
2642,Esteffect,100.0,,,,,767.0
2643,Estel,100.0,,,,,7330.0
2644,EstherRice,482.0,Business,Culture,Health,Mass media,4371.0
2645,Esuzu,560.0,Science,History,Philosophy,Other,5183.0
2646,Etacar11,660.0,Art,Nature,History,Society,7318.0
2647,Eternal,447.0,Language,Architecture,Transportation,Geography,
2648,Eternalsleeper,682.0,Politics,Military,People,Religion,3079.0
2649,Ethan,495.0,Entertainment,Technology,Literature,Culture,
2650,Ethereal,425.0,Media,Politics,Science,Philosophy,5430.0
2651,Etineskid,731.0,Technology,Fashion,Education,Entertainment,5558.0
2652,EtonLibrarian,133.0,Religion,Society,Other,,5608.0
2653,Eubulides,687.0,Health,Science,Medicine,Philosophy,3106.0
2654,Eugene,100.0,,,,,
2655,EugeneZelenko,554.0,Geography,History,Government,Society,7422.0
2656,Eupator,668.0,History,Culture,Society,People,2197.0
2657,Euphoria,546.0,,,,,6682.0
2658,EurekaLott,1097.0,Sports,Entertainment,Technology,Society,4395.0
2659,Eurocopter,798.0,Military,Economy,Transportation,History,
2660,EurowikiJ,430.0,Politics,History,Culture,Mass media,3524.0
2661,Euryalus,1300.0,History,Military,Transportation,Government,631.0
2662,Eusebeus,811.0,Law,Environment,Entertainment,Arts,371.0
2663,Euskera,473.0,Geography,History,Culture,Politics,6888.0
2664,Eustress,876.0,Business,Education,People,Science,2007.0
2665,Euthymios,420.0,Culture,Geography,Society,Other,6537.0
2666,Ev,790.0,Geography,People,Lists,Culture,5915.0
2667,Evadb,681.0,History,Culture,Entities,Philosophy,1313.0
2668,Evan,100.0,,,,,
2669,EvanSeeds,677.0,Entertainment,Technology,Information,Sports,6436.0
2670,Evanh2008,942.0,Entertainment,Religion,Literature,Politics,4812.0
2671,Evanx,493.0,Science,Sports,Technology,Society,6604.0
2672,Evercat,849.0,Government,Military,People,Time,3174.0
2673,Everlast1910,625.0,Sports,History,Entities,Culture,6624.0
2674,Evermore2,632.0,Humanities,Literature,People,Philosophy,5406.0
2675,Everyking,,People,Politics,Entertainment,History,
2676,Everyme,586.0,Mass media,Government,Technology,Society,525.0
2677,Evilgohan2,840.0,Entertainment,Sports,Celebrities,Culture,2471.0
2678,Evilphoenix,832.0,Literature,Education,Arts,Media,1108.0
2679,Evolver,416.0,Science,Academic disciplines,Biology,Genetics,
2680,Ewlyahoocom,737.0,Business,Health,Geography,Environment,3787.0
2681,Ex13,549.0,Language,History,Government,Geography,5993.0
2682,ExRat,918.0,Lists,People,Entertainment,Culture,5168.0
2683,Excaliburo,357.0,Technology,Engineering,Government,Nature,5683.0
2684,Excesses,791.0,Society,Politics,Law,Culture,4915.0
2685,Excirial,,History,Technology,Law,War,
2686,Exec8,803.0,Geography,Mass media,Economy,Education,5938.0
2687,Exir,224.0,Entertainment,Religion,Philosophy,Science,
2688,Exlibris,525.0,Nature,List,Society,People,6816.0
2689,Expensivehat,472.0,Mathematics,Internet,List,Other,6688.0
2690,Explicit,,Entertainment,People,Culture,Music,
2691,ExplicitImplicity,560.0,Politics,Law,Society,Culture,4821.0
2692,Exploringonions,121.0,Technology,Transportation,Business,Engineering,5817.0
2693,Extra999,861.0,Economy,Geography,Education,Science,3326.0
2694,Extransit,990.0,,,,,2599.0
2695,Extraordinary,555.0,Education,Entertainment,Geography,Business,
2696,Extremepro,787.0,Mass media,Literature,Anime and manga,Entertainment,5916.0
2697,Exxolon,746.0,Entertainment,Music,Culture,Lifestyle,
2698,EyeMD,596.0,Health,Medicine,Science,Technology,3909.0
2699,EyeSerene,940.0,History,Military,War,Film,743.0
2700,Ezeu,840.0,Culture,Politics,History,Society,3968.0
2701,Ezhiki,,Geography,History,Russia,Government,
2702,Ezratrumpet,602.0,Education,Geocaching,Literature,Religion,5129.0
2703,Eóin,931.0,Geography,Education,Transportation,Entertainment,2589.0
2704,F,774.0,Internet,Technology,Economy,Politics,
2705,FD,115.0,Mass media,Culture,Technology,Internet,968.0
2706,FG,100.0,,,,,7090.0
2707,FGWQPR,547.0,Transportation,History,Railways,Culture,4406.0
2708,FMAFan1990,638.0,Entertainment,Media,History,Technology,5771.0
2709,FNMF,541.0,People,Law,Philosophy,Politics,6486.0
2710,FRS,637.0,Religion,Politics,Society,Nature,4667.0
2711,FT2,1051.0,Science,Military,Government,Universe,2196.0
2712,Fabartus,806.0,Television,Literature,Culture,Other,2869.0
2713,Fabiform,627.0,Language,Health,Culture,Society,5902.0
2714,Fabrib,621.0,Education,Entertainment,Law,Technology,2692.0
2715,Fabricationary,782.0,Media,Entertainment,People,Time,2102.0
2716,Fabrictramp,1160.0,Sports,History,People,Geography,395.0
2717,Facethefacts,324.0,Environment,Science,Government,Nature,3790.0
2718,Factitious,582.0,Geography,Entertainment,Technology,Information,7098.0
2719,Fadix,584.0,History,Government,Culture,Health,1016.0
2720,Fae,175.0,,,,,4614.0
2721,FaerieInGrey,682.0,Entertainment,People,Education,Business,3003.0
2722,Fahadsadah,550.0,Science,Technology,Society,Nature,2498.0
2723,Fahrenheit451,724.0,Politics,Law,Religion,Philosophy,3235.0
2724,Fail,104.0,,,,,2495.0
2725,Fainites,708.0,Psychology,Human behavior,Medicine,Sociology,1115.0
2726,Fairfieldfencer,735.0,Entertainment,Technology,Lists,Culture,7308.0
2727,FaithF,539.0,Religion,Philosophy,People,History,4874.0
2728,Faithlessthewonderboy,972.0,,,,,386.0
2729,Faizan,939.0,Military,Politics,Society,Technology,3374.0
2730,Fallstorm,250.0,Health,Education,Internet,Nature,6576.0
2731,Falphin,723.0,Culture,History,Religion,Geography,2852.0
2732,Falsedef,468.0,Ethnicity,Food and drink,Internet,People,2994.0
2733,Fan-1967,763.0,People,Entertainment,Business,Human behavior,2439.0
2734,Fang,100.0,,,,,
2735,Fangz,760.0,Military,History,Science,Society,3970.0
2736,Fantasy,628.0,Entertainment,Economy,Technology,Geography,5701.0
2737,Farhansher,626.0,Religion,Philosophy,Culture,Law,2508.0
2738,Farosdaughter,611.0,Health,Nature,History,Sports,3781.0
2739,Fasach,0.0,,,,,
2740,FastLizard4,728.0,Entertainment,Geography,People,Technology,5018.0
2741,Fastfission,737.0,Science,History,Military,Politics,3822.0
2742,Fastily,1133.0,Entertainment,Lists,Information,Animals,17.0
2743,Fasttimes68,578.0,People,Economy,Entertainment,Food and drink,3566.0
2744,Fatal!ty,545.0,History,Government,Military,Nature,4073.0
2745,Fattyjwoods,850.0,History,Military,Geography,Technology,553.0
2746,Faustus37,783.0,Politics,Geography,Sports,Business,7307.0
2747,Favonian,,History,Culture,Philosophy,Society,
2748,Fawcett5,943.0,People,History,Education,Society,2261.0
2749,Fayenatic,100.0,,,,,
2750,FayssalF,1108.0,Geography,Culture,Religion,Politics,95.0
2751,Fbd,472.0,Entertainment,Military,Philosophy,Science,6201.0
2752,Fbv65edel,783.0,Entertainment,Lists,Technology,Culture,4218.0
2753,Fedayee,674.0,History,Government,Culture,Society,3864.0
2754,Feddhicks,359.0,History,Business,People,Technology,6572.0
2755,FeedThePigeons,139.0,Entertainment,Nature,,,4136.0
2756,Feedintm,727.0,Sports,People,Geography,,3184.0
2757,Feezo,1186.0,Culture,Science,Art,Food and drink,1603.0
2758,Feldspaar,314.0,Culture,History,Music,Animals,3658.0
2759,Felix,100.0,,,,,
2760,Felixboy,646.0,Geography,Health,Women's rights,Education,2312.0
2761,FellowWikipedian,532.0,Entertainment,Media,People,,2380.0
2762,FeloniousMonk,821.0,Philosophy,Law,Science,,585.0
2763,Femto,882.0,Nature,Engineering,,,3264.0
2764,Fences,102.0,People,,,,
2765,Fennec,777.0,Entertainment,Education,Lists,Culture,1596.0
2766,Ferddog,454.0,Business,Government,,,4504.0
2767,Ferdiaob,657.0,Technology,Entertainment,Internet,People,1293.0
2768,Ferdinand,409.0,Sports,Geography,Society,,
2769,Ferkelparade,694.0,History,Politics,Other,,2468.0
2770,Fernando,690.0,Religion,Architecture,Geography,Society,
2771,FerricMix,350.0,Religion,Culture,People,,
2772,Fetchcomms,1103.0,Transportation,Landmarks,History,Economy,61.0
2773,Fethers,524.0,Sports,Education,Food and drink,Entertainment,6219.0
2774,Fetofs,694.0,Nature,Mathematics,Business,Engineering,1091.0
2775,FeydHuxtable,805.0,Economics,Government,Philosophy,Society,114.0
2776,Feydey,1050.0,History,Geography,Politics,Entertainment,361.0
2777,Ffirehorse,582.0,People,Music,Law,Television,1761.0
2778,Fg2,893.0,Geography,Religion,History,Natural Disasters,6166.0
2779,FiachraByrne,737.0,Health,Medicine,History,Society,3520.0
